Date,Yield
1971-08-16,0.5631999999999993
1971-08-17,0.7107999999999999
1971-08-18,1.0656999999999996
1971-08-19,1.1334999999999997
1971-08-20,1.0313000000000008
1971-08-23,0.9753000000000007
1971-08-24,0.9877000000000002
1971-08-25,1.0026000000000002
1971-08-26,0.9985999999999997
1971-08-27,1.0090000000000003
1971-08-30,1.0672000000000006
1971-08-31,1.0430000000000001
1971-09-01,0.9993999999999996
1971-09-02,0.8828000000000005
1971-09-03,0.9035000000000002
1971-09-07,0.9219999999999997
1971-09-08,0.8799999999999999
1971-09-09,0.8855000000000004
1971-09-10,0.8549000000000007
1971-09-13,0.8416999999999994
1971-09-14,0.8045999999999998
1971-09-15,0.9504000000000001
1971-09-16,0.9516999999999998
1971-09-17,0.8360000000000003
1971-09-20,0.9170999999999996
1971-09-21,0.9106999999999994
1971-09-22,0.9165999999999999
1971-09-23,0.9411999999999994
1971-09-24,0.9337
1971-09-27,0.9443999999999999
1971-09-28,0.9306999999999999
1971-09-29,0.9423000000000004
1971-09-30,0.9424999999999999
1971-10-01,0.9798999999999998
1971-10-04,0.9272999999999998
1971-10-05,0.9575000000000005
1971-10-06,0.9548999999999994
1971-10-07,0.9748999999999999
1971-10-08,1.0011999999999999
1971-10-12,1.0688000000000004
1971-10-13,1.1659999999999995
1971-10-14,1.2264
1971-10-15,1.1659000000000006
1971-10-18,1.1997999999999998
1971-10-19,1.1485000000000003
1971-10-20,1.2035
1971-10-21,1.2680999999999996
1971-10-22,1.2975000000000003
1971-10-26,1.3871000000000002
1971-10-27,1.4348999999999998
1971-10-28,1.3817000000000004
1971-10-29,1.4248999999999992
1971-11-01,1.4646
1971-11-03,1.3989000000000003
1971-11-04,1.3918999999999997
1971-11-05,1.3676000000000004
1971-11-08,1.3678999999999997
1971-11-09,1.3899999999999997
1971-11-10,1.3881000000000006
1971-11-11,1.3533
1971-11-12,1.3422999999999998
1971-11-15,1.3936000000000002
1971-11-16,1.4512999999999998
1971-11-17,1.4473000000000003
1971-11-18,1.4506000000000006
1971-11-19,1.4447999999999999
1971-11-22,1.4491000000000005
1971-11-23,1.4463
1971-11-24,1.4289000000000005
1971-11-26,1.3718000000000004
1971-11-29,1.4203999999999999
1971-11-30,1.4291999999999998
1971-12-01,1.4356999999999998
1971-12-02,1.4293999999999993
1971-12-03,1.4448999999999996
1971-12-06,1.4208999999999996
1971-12-07,1.4269999999999996
1971-12-08,1.4370000000000003
1971-12-09,1.4355000000000002
1971-12-10,1.4432999999999998
1971-12-13,1.4630999999999998
1971-12-14,1.4825999999999997
1971-12-15,1.4638999999999998
1971-12-16,1.4687999999999999
1971-12-17,1.4905
1971-12-20,1.4816000000000003
1971-12-21,1.4977
1971-12-22,1.5274
1971-12-23,1.6104000000000003
1971-12-27,1.6405000000000003
1971-12-28,1.6189999999999998
1971-12-29,1.6017000000000001
1971-12-30,1.6019999999999994
1971-12-31,1.6135000000000002
1972-01-03,1.6400999999999994
1972-01-04,1.6783000000000001
1972-01-05,1.7339000000000002
1972-01-06,1.7855000000000008
1972-01-07,1.8304
1972-01-10,1.9092000000000002
1972-01-11,1.9119000000000002
1972-01-12,1.9356999999999998
1972-01-13,1.9769999999999999
1972-01-14,2.0182
1972-01-17,2.0000999999999998
1972-01-18,1.9882
1972-01-19,1.9144000000000005
1972-01-20,1.9287
1972-01-21,1.8878000000000004
1972-01-24,1.8155999999999999
1972-01-25,1.7999
1972-01-26,1.8369
1972-01-27,1.9409999999999998
1972-01-28,1.9444
1972-01-31,1.9101
1972-02-01,1.8568999999999996
1972-02-02,1.8924000000000003
1972-02-03,1.8593000000000002
1972-02-04,1.8851000000000004
1972-02-07,1.9463
1972-02-08,1.96
1972-02-09,1.9826999999999995
1972-02-10,1.9971000000000005
1972-02-11,2.0581000000000005
1972-02-14,2.0200999999999993
1972-02-15,2.0666
1972-02-16,2.1304
