Date,Open,High,Low,Close,Adj Close,Volume,Diff
2009-01-02,51.349998,54.529999,51.07,54.360001,54.360001,7296400,3.0800020000000075
2009-01-05,55.73,55.740002,53.029999,54.060001,54.060001,9509800,-0.30000000000000426
2009-01-06,54.549999,58.220001,53.75,57.360001,57.360001,11080100,3.3000000000000043
2009-01-07,56.290001,56.950001,55.349998,56.200001,56.200001,7942700,-1.1600000000000037
2009-01-08,54.990002,57.32,54.580002,57.16,57.16,6577900,0.9599989999999964
2009-01-09,56.919998,57.0,54.700001,55.509998,55.509998,6684100,-1.6500020000000006
2009-01-12,54.119999,54.299999,50.869999,51.919998,51.919998,9556300,-3.5899999999999963
2009-01-13,50.959999,53.290001,50.75,51.450001,51.450001,7883200,-0.4699969999999993
2009-01-14,50.099998,50.099998,48.139999,48.490002,48.490002,10442600,-2.9599989999999963
2009-01-15,48.560001,52.23,47.630001,51.439999,51.439999,11617300,2.9499969999999958
2009-01-16,51.799999,52.330002,49.529999,51.59,51.59,8258200,0.15000100000000316
2009-01-20,50.75,51.700001,48.27,48.439999,48.439999,6767200,-3.150001000000003
2009-01-21,49.310001,50.689999,48.25,50.540001,50.540001,5829500,2.1000020000000035
2009-01-22,49.419998,50.880001,48.259998,49.939999,49.939999,7133300,-0.6000020000000035
2009-01-23,48.900002,51.419998,48.450001,50.630001,50.630001,5793300,0.6900019999999998
2009-01-26,50.18,50.889999,48.52,49.630001,49.630001,7155700,-1.0
2009-01-27,49.299999,50.419998,47.720001,48.439999,48.439999,8738200,-1.1900019999999998
2009-01-28,49.720001,51.490002,48.970001,50.360001,50.360001,8056600,1.920002000000004
2009-01-29,49.959999,51.849998,49.139999,50.0,50.0,17966800,-0.36000100000000396
2009-01-30,57.360001,59.740002,57.240002,58.82,58.82,39783100,8.82
2009-02-02,58.57,62.0,58.130001,61.150002,61.150002,19324300,2.3300020000000004
2009-02-03,60.869999,64.199997,60.0,63.59,63.59,14694600,2.4399980000000028
2009-02-04,63.380001,63.439999,60.830002,61.060001,61.060001,13726300,-2.529999000000004
2009-02-05,61.150002,63.810001,60.630001,63.18,63.18,10169600,2.119999
2009-02-06,63.18,67.0,63.18,66.550003,66.550003,12044900,3.370003000000004
2009-02-09,66.559998,67.360001,65.379997,66.709999,66.709999,9437600,0.15999599999999248
2009-02-10,66.150002,67.230003,63.07,63.310001,63.310001,10700600,-3.3999979999999965
2009-02-11,63.099998,64.900002,62.25,64.349998,64.349998,8347300,1.0399969999999996
2009-02-12,63.25,64.25,61.709999,63.959999,63.959999,8095500,-0.3899990000000031
2009-02-13,63.970001,64.68,62.869999,63.259998,63.259998,4130900,-0.7000010000000003
2009-02-17,61.669998,62.650002,61.18,61.669998,61.669998,7126100,-1.5899999999999963
2009-02-18,62.27,62.779999,60.52,62.349998,62.349998,7366000,0.6799999999999997
2009-02-19,62.84,64.18,61.669998,61.950001,61.950001,6768900,-0.3999969999999991
2009-02-20,61.07,64.150002,60.84,63.860001,63.860001,9354500,1.910000000000004
2009-02-23,64.160004,64.910004,61.52,61.709999,61.709999,7336000,-2.150002000000008
2009-02-24,61.970001,66.099998,61.889999,65.599998,65.599998,10271400,3.889999000000003
2009-02-25,64.900002,65.75,62.82,63.709999,63.709999,9122100,-1.8899990000000033
2009-02-26,64.120003,64.730003,62.34,62.34,62.34,7275300,-1.3699989999999929
2009-02-27,61.259998,65.08000200000001,60.939999,64.790001,64.790001,11488300,2.4500010000000003
2009-03-02,63.939999,65.519997,61.509998,61.990002,61.990002,10511900,-2.799999
2009-03-03,62.75,63.290001,61.299999,61.700001,61.700001,9691600,-0.2900010000000037
2009-03-04,62.799999,65.790001,62.400002,64.809998,64.809998,11960900,3.1099969999999932
2009-03-05,64.120003,65.800003,63.599998,64.769997,64.769997,11770300,-0.04000099999998952
2009-03-06,65.199997,65.5,59.82,61.689999,61.689999,15093800,-3.079998000000004
2009-03-09,62.200001,64.029999,60.150002,60.490002,60.490002,13561400,-1.1999969999999962
2009-03-10,62.490002,65.900002,61.779999,65.709999,65.709999,15435700,5.219996999999992
2009-03-11,66.239998,69.370003,65.269997,68.540001,68.540001,13881700,2.8300020000000075
2009-03-12,68.349998,69.870003,67.25,69.58000200000001,69.58000200000001,11348900,1.0400010000000035
2009-03-13,69.639999,69.739998,67.529999,68.629997,68.629997,8903400,-0.9500050000000044
2009-03-16,68.559998,69.290001,66.68,66.980003,66.980003,9437300,-1.6499940000000066
2009-03-17,67.370003,71.709999,67.0,71.349998,71.349998,11902800,4.369995000000003
2009-03-18,70.970001,73.910004,70.129997,71.25,71.25,10401700,-0.09999799999999937
2009-03-19,71.400002,71.910004,69.239998,70.099998,70.099998,8819100,-1.1500020000000006
2009-03-20,70.389999,70.889999,69.08000200000001,69.959999,69.959999,8468100,-0.1399990000000031
2009-03-23,71.360001,75.610001,70.699997,75.58000200000002,75.58000200000002,8612400,5.620003000000012
2009-03-24,74.849998,75.0,72.309998,72.809998,72.809998,7457900,-2.7700040000000143
