Date,Open,High,Low,Close,Adj Close,Volume,Return,Lagged_Return
2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000,-1.4437843047050982,-0.6851588491309291
2008-01-03,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000,0.0,-1.4437843047050982
2008-01-04,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,4166000000,-2.455155488352856,0.0
2008-01-07,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000,0.32232589162057845,-2.455155488352856
2008-01-08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000,-1.835226596123196,0.32232589162057845
2008-01-09,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,5351030000,1.3624083617218339,-1.835226596123196
2008-01-10,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,5170490000,0.7948131797818059,1.3624083617218339
2008-01-11,1419.910034,1419.910034,1394.829956,1401.02002,1401.02002,4495840000,-1.3595387408698811,0.7948131797818059
2008-01-14,1402.910034,1417.890015,1402.910034,1416.25,1416.25,3682090000,1.0870636952068802,-1.3595387408698811
2008-01-15,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,4601640000,-2.4925012533097983,1.0870636952068802
2008-01-16,1377.410034,1391.98999,1364.27002,1373.199951,1373.199951,5440620000,-0.5612078840647294,-2.4925012533097983
2008-01-17,1374.790039,1377.719971,1330.670044,1333.25,1333.25,5303130000,-2.909259570749867,-0.5612078840647294
2008-01-18,1333.900024,1350.280029,1312.51001,1325.189941,1325.189941,6004840000,-0.6045422088880481,-2.909259570749867
2008-01-22,1312.939941,1322.089966,1274.290039,1310.5,1310.5,6544690000,-1.1085158848183618,-0.6045422088880481
2008-01-23,1310.410034,1339.089966,1270.050049,1338.599976,1338.599976,3241680000,2.144217932086989,-1.1085158848183618
2008-01-24,1340.130005,1355.150024,1334.310059,1352.069946,1352.069946,5735300000,1.006272989803203,2.144217932086989
2008-01-25,1357.319946,1368.560059,1327.5,1330.609985,1330.609985,4882250000,-1.587193108129337,1.006272989803203
2008-01-28,1330.699951,1353.969971,1322.26001,1353.959961,1353.959961,4100930000,1.7548324650517255,-1.587193108129337
2008-01-29,1355.939941,1364.930054,1350.189941,1362.300049,1362.300049,4232960000,0.6159774469135737,1.7548324650517255
2008-01-30,1362.219971,1385.859985,1352.949951,1355.810059,1355.810059,4742760000,-0.4763994543466432,0.6159774469135737
2008-01-31,1351.97998,1385.619995,1334.079956,1378.550049,1378.550049,4970290000,1.6772253494543587,-0.4763994543466432
2008-02-01,1378.599976,1396.02002,1375.930054,1395.420044,1395.420044,4650770000,1.2237491857649552,1.6772253494543587
2008-02-04,1395.380005,1395.380005,1379.689941,1380.819946,1380.819946,3495780000,-1.046286963038623,1.2237491857649552
2008-02-05,1380.280029,1380.280029,1336.640015,1336.640015,1336.640015,4315740000,-3.1995432227048703,-1.046286963038623
2008-02-06,1339.47998,1351.959961,1324.339966,1326.449951,1326.449951,4008120000,-0.7623641283849958,-3.1995432227048703
2008-02-07,1324.01001,1347.160034,1316.75,1336.910034,1336.910034,4589160000,0.7885772842099348,-0.7623641283849958
2008-02-08,1336.880005,1341.219971,1321.060059,1331.290039,1331.290039,3768490000,-0.4203719664804373,0.7885772842099348
2008-02-11,1331.920044,1341.400024,1320.319946,1339.130005,1339.130005,3593140000,0.5888999219050062,-0.4203719664804373
2008-02-12,1340.550049,1362.099976,1339.359985,1348.859985,1348.859985,4044640000,0.7265896487772316,0.5888999219050062
2008-02-13,1353.119995,1369.22998,1350.780029,1367.209961,1367.209961,3856420000,1.3604062841259257,0.7265896487772316
2008-02-14,1367.329956,1368.160034,1347.310059,1348.859985,1348.859985,3644760000,-1.3421476235134011,1.3604062841259257
2008-02-15,1347.52002,1350.0,1338.130005,1349.98999,1349.98999,3583300000,0.08377481818471201,-1.3421476235134011
2008-02-19,1355.859985,1367.280029,1345.050049,1348.780029,1348.780029,3613550000,-0.08962740531135438,0.08377481818471201
2008-02-20,1348.390015,1363.709961,1336.550049,1360.030029,1360.030029,3870520000,0.8340870830020329,-0.08962740531135438
2008-02-21,1362.209961,1367.939941,1339.339966,1342.530029,1342.530029,3696660000,-1.286736294555746,0.8340870830020329
2008-02-22,1344.219971,1354.300049,1327.040039,1353.109985,1353.109985,3572660000,0.7880610318921955,-1.286736294555746
2008-02-25,1352.75,1374.359985,1346.030029,1371.800049,1371.800049,3866350000,1.381267170236722,0.7880610318921955
2008-02-26,1371.76001,1387.339966,1363.290039,1381.290039,1381.290039,4096060000,0.6917910527061144,1.381267170236722
2008-02-27,1378.949951,1388.339966,1372.0,1380.02002,1380.02002,3904700000,-0.09194441168340894,0.6917910527061144
2008-02-28,1378.160034,1378.160034,1363.160034,1367.680054,1367.680054,3938580000,-0.8941874625847834,-0.09194441168340894
2008-02-29,1364.069946,1364.069946,1325.420044,1330.630005,1330.630005,4426730000,-2.7089704855781997,-0.8941874625847834
2008-03-03,1330.449951,1335.130005,1320.040039,1331.339966,1331.339966,4117570000,0.05335525257450513,-2.7089704855781997
2008-03-04,1329.579956,1331.030029,1307.390015,1326.75,1326.75,4757180000,-0.34476287929600113,0.05335525257450513
