timestamp,bid_ask_spread
2018-12-24 12:32:50.595622+00:00,0
2018-12-24 13:00:02.757045+00:00,108.89
2018-12-24 13:00:02.757115+00:00,-0.22
2018-12-24 13:00:13.828698+00:00,-0.21
2018-12-24 13:00:19.347938+00:00,-0.20
2018-12-24 13:00:22.485511+00:00,-0.19
2018-12-24 13:00:23.993134+00:00,-0.18
2018-12-24 13:00:28.993253+00:00,-0.19
2018-12-24 13:00:30.207034+00:00,-0.18
2018-12-24 13:00:35.206311+00:00,-0.19
2018-12-24 13:00:35.790485+00:00,108.89
2018-12-24 13:00:35.792138+00:00,-0.20
2018-12-24 13:00:40.791907+00:00,108.89
2018-12-24 13:00:40.793602+00:00,-0.21
2018-12-24 13:00:40.815923+00:00,-0.20
2018-12-24 13:00:54.031303+00:00,-0.21
2018-12-24 13:00:54.033499+00:00,-0.20
2018-12-24 13:01:17.131313+00:00,-0.19
2018-12-24 13:01:25.532261+00:00,-0.18
2018-12-24 13:01:30.531893+00:00,-0.19
2018-12-24 13:01:34.060473+00:00,108.89
2018-12-24 13:01:34.062151+00:00,-0.20
2018-12-24 13:01:55.917212+00:00,-0.19
2018-12-24 13:02:02.297162+00:00,-0.18
2018-12-24 13:02:12.719298+00:00,-0.19
2018-12-24 13:02:12.725207+00:00,-0.18
2018-12-24 13:02:24.682092+00:00,-0.19
2018-12-24 13:02:24.707066+00:00,-0.18
2018-12-24 13:02:52.051218+00:00,-0.19
2018-12-24 13:02:52.076028+00:00,-0.18
2018-12-24 13:02:58.305514+00:00,-0.19
2018-12-24 13:02:59.246710+00:00,108.89
2018-12-24 13:02:59.248468+00:00,-0.20
2018-12-24 13:02:59.272681+00:00,-0.19
2018-12-24 13:03:04.271944+00:00,-0.20
2018-12-24 13:03:17.954451+00:00,-0.19
2018-12-24 13:03:28.589058+00:00,-0.20
2018-12-24 13:03:30.998782+00:00,-0.19
2018-12-24 13:04:07.718353+00:00,-0.18
2018-12-24 13:04:15.819806+00:00,-0.19
2018-12-24 13:04:16.702237+00:00,-0.18
2018-12-24 13:04:21.701226+00:00,-0.19
2018-12-24 13:04:52.770424+00:00,-0.18
2018-12-24 13:04:57.769811+00:00,-0.19
2018-12-24 13:05:00.105963+00:00,-0.18
2018-12-24 13:05:09.259012+00:00,-0.19
2018-12-24 13:05:09.275823+00:00,-0.18
2018-12-24 13:05:20.506008+00:00,-0.19
2018-12-24 13:05:20.539442+00:00,-0.18
2018-12-24 13:05:27.505349+00:00,-0.19
2018-12-24 13:05:34.120969+00:00,108.89
2018-12-24 13:05:34.122425+00:00,-0.20
2018-12-24 13:05:53.460337+00:00,108.89
2018-12-24 13:05:53.461990+00:00,-0.20
2018-12-24 13:05:58.461542+00:00,108.89
2018-12-24 13:05:58.462942+00:00,-0.21
2018-12-24 13:06:19.071248+00:00,108.89
2018-12-24 13:06:19.072649+00:00,-0.22
2018-12-24 13:06:19.478233+00:00,-0.21
2018-12-24 13:06:24.477255+00:00,-0.22
2018-12-24 13:06:31.748033+00:00,108.89
2018-12-24 13:06:31.749400+00:00,-0.23
2018-12-24 13:06:32.356032+00:00,-0.22
